"","k","f","type"
"高雄",1066,38,"高雄"
"高潮",1067,38,"高潮"
"動態",1068,38,"動態"
"唬爛",1069,38,"唬爛"
"常",1070,38,"常"
"情況",1071,38,"情況"
"勝",1072,38,"勝"
"喝",1073,38,"喝"
"掰",1074,38,"掰"
"程度",1075,38,"程度"
"超過",1076,38,"超過"
"進行",1077,38,"進行"
"微軟",1078,38,"微軟"
"想要",1079,38,"想要"
"態度",1080,38,"態度"
"優質",1081,38,"優質"
"總",1082,38,"總"
"騜",1083,38,"騜"
"大眾",1084,37,"大眾"
"之類",1085,37,"之類"
"主要",1086,37,"主要"
"丟臉",1087,37,"丟臉"
"因此",1088,37,"因此"
"好幾",1089,37,"好幾"
"成功",1090,37,"成功"
"有夠",1091,37,"有夠"
"忘",1092,37,"忘"
"那麼多",1093,37,"那麼多"
"依法",1094,37,"依法"
"所謂",1095,37,"所謂"
"招",1096,37,"招"
"林千文",1097,37,"林千文"
"法官",1098,37,"法官"
"爸爸",1099,37,"爸爸"
"怎",1100,37,"怎"
"科",1101,37,"科"
"修",1102,37,"修"
"值得",1103,37,"值得"
"員工",1104,37,"員工"
"接受",1105,37,"接受"
"處",1106,37,"處"
"規定",1107,37,"規定"
"貪污",1108,37,"貪污"
"尊重",1109,37,"尊重"
"嗆",1110,37,"嗆"
"想到",1111,37,"想到"
"群",1112,37,"群"
"話說",1113,37,"話說"
"過去",1114,37,"過去"
"對了",1115,37,"對了"
"隨便",1116,37,"隨便"
"還不是",1117,37,"還不是"
"懷疑",1118,37,"懷疑"
"體罰",1119,37,"體罰"
"email",1120,36,"email"
"protected",1121,36,"protected"
"一半",1122,36,"一半"
"女",1123,36,"女"
"不實",1124,36,"不實"
"分鐘",1125,36,"分鐘"
"他人",1126,36,"他人"
"代碼",1127,36,"代碼"
"台大",1128,36,"台大"
"民",1129,36,"民"
"合理",1130,36,"合理"
"老爸",1131,36,"老爸"
"考績",1132,36,"考績"
"拍",1133,36,"拍"
"後面",1134,36,"後面"
"是否",1135,36,"是否"
"素質",1136,36,"素質"
"得到",1137,36,"得到"
"欸",1138,36,"欸"
"猛",1139,36,"猛"
"理",1140,36,"理"
"報告",1141,36,"報告"
"無恥",1142,36,"無恥"
"焦點",1143,36,"焦點"
"意義",1144,36,"意義"
"經濟",1145,36,"經濟"
"電影",1146,36,"電影"
"對不起",1147,36,"對不起"
"說真的",1148,36,"說真的"
"說話",1149,36,"說話"
"廢物",1150,36,"廢物"
"轉移",1151,36,"轉移"
"顧問",1152,36,"顧問"
"權",1153,36,"權"
"qq",1154,35,"qq"
"反而",1155,35,"反而"
"令",1156,35,"令"
"何必",1157,35,"何必"
"屁事",1158,35,"屁事"
"官員",1159,35,"官員"
"保護",1160,35,"保護"
"昨天",1161,35,"昨天"
"研究",1162,35,"研究"
"哩",1163,35,"哩"
"能夠",1164,35,"能夠"
"記者會",1165,35,"記者會"
"除非",1166,35,"除非"
"停",1167,35,"停"
"畢竟",1168,35,"畢竟"
"蛋",1169,35,"蛋"
"集",1170,35,"集"
"搞不好",1171,35,"搞不好"
"違法",1172,35,"違法"
"算了",1173,35,"算了"
"壞",1174,35,"壞"
"▏",1175,34,"▏"
"9",1176,34,"9"
"AID",1177,34,"AID"
"Re",1178,34,"Re"
"Sony",1179,34,"Sony"
"下面",1180,34,"下面"
"千文哥",1181,34,"千文哥"
"女生",1182,34,"女生"
"太太",1183,34,"太太"
"加上",1184,34,"加上"
"同時",1185,34,"同時"
"吵",1186,34,"吵"
"宋",1187,34,"宋"
"更多",1188,34,"更多"
"車",1189,34,"車"
"制度",1190,34,"制度"
"呵呵",1191,34,"呵呵"
"拍拍",1192,34,"拍拍"
"信箱",1193,34,"信箱"
"看起來",1194,34,"看起來"
"射",1195,34,"射"
"逆轉",1196,34,"逆轉"
"通常",1197,34,"通常"
"項",1198,34,"項"
"置底",1199,34,"置底"
"躲",1200,34,"躲"
"遇到",1201,34,"遇到"
"道",1202,34,"道"
"操",1203,34,"操"
"ㄣ",1204,33,"ㄣ"
"片",1205,33,"片"
"加入",1206,33,"加入"
"回應",1207,33,"回應"
"成為",1208,33,"成為"
"有效",1209,33,"有效"
"刪除",1210,33,"刪除"
"放假",1211,33,"放假"
"狀況",1212,33,"狀況"
"威",1213,33,"威"
"孩子",1214,33,"孩子"
"穿",1215,33,"穿"
"純",1216,33,"純"
"能力",1217,33,"能力"
"專業文",1218,33,"專業文"
"教師",1219,33,"教師"
"晚",1220,33,"晚"
"票數",1221,33,"票數"
"超強",1222,33,"超強"
"進去",1223,33,"進去"
"違反",1224,33,"違反"
"槍",1225,33,"槍"
"罷免",1226,33,"罷免"
"擋",1227,33,"擋"
"顆顆",1228,33,"顆顆"
"聽說",1229,33,"聽說"
"`",1230,32,"`"
"═",1231,32,"═"
"6",1232,32,"6"
"毛",1233,32,"毛"
"火",1234,32,"火"
"北市",1235,32,"北市"
"吐",1236,32,"吐"
"有用",1237,32,"有用"
"自殺",1238,32,"自殺"
"批幣",1239,32,"批幣"
"沒關係",1240,32,"沒關係"
"男人",1241,32,"男人"
"言",1242,32,"言"
"妹",1243,32,"妹"
"花博",1244,32,"花博"
"持續",1245,32,"持續"
"紀錄",1246,32,"紀錄"
"郝柏村",1247,32,"郝柏村"
"推薦",1248,32,"推薦"
"符合",1249,32,"符合"
"提出",1250,32,"提出"
"註冊",1251,32,"註冊"
"越來越",1252,32,"越來越"
"資",1253,32,"資"
"樣",1254,32,"樣"
"適合",1255,32,"適合"
"人性",1256,31,"人性"
"以及",1257,31,"以及"
"打嘴",1258,31,"打嘴"
"如此",1259,31,"如此"
"弟",1260,31,"弟"
"其中",1261,31,"其中"
"波",1262,31,"波"
"南部",1263,31,"南部"
"故",1264,31,"故"
"查證",1265,31,"查證"
"毒品",1266,31,"毒品"
"甚至",1267,31,"甚至"
"倍",1268,31,"倍"
"偏",1269,31,"偏"
"飯",1270,31,"飯"
"媽媽",1271,31,"媽媽"
"達",1272,31,"達"
"價值",1273,31,"價值"
"謾罵",1274,31,"謾罵"
"°",1275,30,"°"
"〒",1276,30,"〒"
"千文",1277,30,"千文"
"天經地義",1278,30,"天經地義"
"台南",1279,30,"台南"
"永遠",1280,30,"永遠"
"年前",1281,30,"年前"
"忙",1282,30,"忙"
"私人",1283,30,"私人"
"妹控魂",1284,30,"妹控魂"
"拖",1285,30,"拖"
"泡射",1286,30,"泡射"
"配",1287,30,"配"
"疏失",1288,30,"疏失"
"部份",1289,30,"部份"
"陳菊",1290,30,"陳菊"
"鳥",1291,30,"鳥"
"畫面",1292,30,"畫面"
"順便",1293,30,"順便"
"幹幹幹幹",1294,30,"幹幹幹幹"
"新加坡",1295,30,"新加坡"
"準",1296,30,"準"
"照片",1297,30,"照片"
"澄清",1298,30,"澄清"
"選民",1299,30,"選民"
"龜",1300,30,"龜"
"檔",1301,30,"檔"
"薪水",1302,30,"薪水"
"翻",1303,30,"翻"
"警告",1304,30,"警告"
"╭",1305,29,"╭"
"20",1306,29,"20"
"D",1307,29,"D"
"XDDDDDD",1308,29,"XDDDDDD"
"主管",1309,29,"主管"
"民眾",1310,29,"民眾"
"立場",1311,29,"立場"
"劣",1312,29,"劣"
"成立",1313,29,"成立"
"而是",1314,29,"而是"
"抓到",1315,29,"抓到"
"往",1316,29,"往"
"抱歉",1317,29,"抱歉"
"政治文",1318,29,"政治文"
"洨",1319,29,"洨"
"派",1320,29,"派"
"背景",1321,29,"背景"
"哭哭",1322,29,"哭哭"
"追",1323,29,"追"
"退",1324,29,"退"
"國廁",1325,29,"國廁"
"婊",1326,29,"婊"
"被害人",1327,29,"被害人"
"通通",1328,29,"通通"
"場",1329,29,"場"
"短",1330,29,"短"
"跳出來",1331,29,"跳出來"
"跳樓",1332,29,"跳樓"
"過分",1333,29,"過分"
"預測",1334,29,"預測"
"弊案",1335,29,"弊案"
"慢",1336,29,"慢"
"慢慢",1337,29,"慢慢"
"漢堡王",1338,29,"漢堡王"
"緊張",1339,29,"緊張"
"談",1340,29,"談"
"選上",1341,29,"選上"
"聯盟",1342,29,"聯盟"
"還可以",1343,29,"還可以"
"ˊ",1344,28,"ˊ"
"DPP",1345,28,"DPP"
"id",1346,28,"id"
"OK",1347,28,"OK"
"人士",1348,28,"人士"
"三立",1349,28,"三立"
"內幕",1350,28,"內幕"
"公布",1351,28,"公布"
"心態",1352,28,"心態"
"文了",1353,28,"文了"
"且",1354,28,"且"
"代",1355,28,"代"
"失敗",1356,28,"失敗"
"皿",1357,28,"皿"
"回去",1358,28,"回去"
"在一起",1359,28,"在一起"
"何",1360,28,"何"
"佩服",1361,28,"佩服"
"來源",1362,28,"來源"
"泡",1363,28,"泡"
"信仰",1364,28,"信仰"
"政",1365,28,"政"
"政策",1366,28,"政策"
"孬",1367,28,"孬"
"第三",1368,28,"第三"
"通過",1369,28,"通過"
"部門",1370,28,"部門"
"幾乎",1371,28,"幾乎"
"費",1372,28,"費"
"腦袋",1373,28,"腦袋"
"解決",1374,28,"解決"
"跳板",1375,28,"跳板"
"認同",1376,28,"認同"
"噗",1377,28,"噗"
"歐",1378,28,"歐"
"編劇",1379,28,"編劇"
"論文",1380,28,"論文"
"輝神",1381,28,"輝神"
"蕭",1382,28,"蕭"
"蟹",1383,28,"蟹"
"關心",1384,28,"關心"
"邏輯",1385,28,"邏輯"
"║",1386,27,"║"
"16",1387,27,"16"
"SONY",1388,27,"SONY"
"一段",1389,27,"一段"
"人生",1390,27,"人生"
"中華",1391,27,"中華"
"今晚",1392,27,"今晚"
"六",1393,27,"六"
"分析",1394,27,"分析"
"支那",1395,27,"支那"
"主席",1396,27,"主席"
"打字",1397,27,"打字"
"田甲",1398,27,"田甲"
"申",1399,27,"申"
"安安安安",1400,27,"安安安安"
"有關",1401,27,"有關"
"死死死死",1402,27,"死死死死"
"免",1403,27,"免"
"技術",1404,27,"技術"
"系統",1405,27,"系統"
"到時候",1406,27,"到時候"
"底",1407,27,"底"
"後續",1408,27,"後續"
"英文",1409,27,"英文"
"套",1410,27,"套"
"海洛因",1411,27,"海洛因"
"真實",1412,27,"真實"
"參選人",1413,27,"參選人"
"教育界",1414,27,"教育界"
"殺殺殺殺",1415,27,"殺殺殺殺"
"混",1416,27,"混"
"許多",1417,27,"許多"
"貨色",1418,27,"貨色"
"廁所",1419,27,"廁所"
"發表",1420,27,"發表"
"視",1421,27,"視"
"集團",1422,27,"集團"
"聖人",1423,27,"聖人"
"資源",1424,27,"資源"
"維護",1425,27,"維護"
"網站",1426,27,"網站"
"罰",1427,27,"罰"
"寬恕",1428,27,"寬恕"
"質疑",1429,27,"質疑"
"選擇",1430,27,"選擇"
"聯合",1431,27,"聯合"
"權利",1432,27,"權利"
"01",1433,26,"01"
"22",1434,26,"22"
"L2M",1435,26,"L2M"
"一百",1436,26,"一百"
"大大",1437,26,"大大"
"同意",1438,26,"同意"
"好棒",1439,26,"好棒"
"坐",1440,26,"坐"
"完整",1441,26,"完整"
"批評",1442,26,"批評"
"找到",1443,26,"找到"
"牠",1444,26,"牠"
"或許",1445,26,"或許"
"板友",1446,26,"板友"
"注意",1447,26,"注意"
"門",1448,26,"門"
"信件",1449,26,"信件"
"咬",1450,26,"咬"
"拜",1451,26,"拜"
"政黨",1452,26,"政黨"
"活動",1453,26,"活動"
"特別",1454,26,"特別"
"乾脆",1455,26,"乾脆"
"傢伙",1456,26,"傢伙"
"掰掰",1457,26,"掰掰"
"最多",1458,26,"最多"
"無效",1459,26,"無效"
"結論",1460,26,"結論"
"進",1461,26,"進"
"幹麻",1462,26,"幹麻"
"腦",1463,26,"腦"
"嘖嘖",1464,26,"嘖嘖"
"誤",1465,26,"誤"
"暴",1466,26,"暴"
"據",1467,26,"據"
"環境",1468,26,"環境"
"簽名檔",1469,26,"簽名檔"
"騙",1470,26,"騙"
"霸者",1471,26,"霸者"
"2010年",1472,25,"2010年"
"jojo",1473,25,"jojo"
"人才",1474,25,"人才"
"人類",1475,25,"人類"
"上課",1476,25,"上課"
"不足",1477,25,"不足"
"不要臉",1478,25,"不要臉"
"中立",1479,25,"中立"
"化糞池",1480,25,"化糞池"
"反應",1481,25,"反應"
"文化局",1482,25,"文化局"
"左右",1483,25,"左右"
"未來",1484,25,"未來"
"申請",1485,25,"申請"
"白色恐怖",1486,25,"白色恐怖"
"安全",1487,25,"安全"
"串",1488,25,"串"
"作夢",1489,25,"作夢"
"扯東扯西",1490,25,"扯東扯西"
"姓",1491,25,"姓"
"性侵文",1492,25,"性侵文"
"於是",1493,25,"於是"
"林",1494,25,"林"
"版本",1495,25,"版本"
"很少",1496,25,"很少"
"面",1497,25,"面"
"修改",1498,25,"修改"
"值",1499,25,"值"
"根",1500,25,"根"
"真假",1501,25,"真假"
"笑死",1502,25,"笑死"
"記",1503,25,"記"
"堅持",1504,25,"堅持"
"接",1505,25,"接"
"殺人犯",1506,25,"殺人犯"
"陳水扁",1507,25,"陳水扁"
"曾經",1508,25,"曾經"
"期間",1509,25,"期間"
"發言",1510,25,"發言"
"趁",1511,25,"趁"
"開心",1512,25,"開心"
"罪",1513,25,"罪"
"實際",1514,25,"實際"
"稱",1515,25,"稱"
"網址",1516,25,"網址"
"認定",1517,25,"認定"
"徵選",1518,25,"徵選"
"樓",1519,25,"樓"
"樣子",1520,25,"樣子"
"罵人",1521,25,"罵人"
"賭盤",1522,25,"賭盤"
"機關",1523,25,"機關"
"優",1524,25,"優"
"顆",1525,25,"顆"
"關於",1526,25,"關於"
"☆",1527,24,"☆"
"75",1528,24,"75"
"bug",1529,24,"bug"
"八卦文",1530,24,"八卦文"
"上任",1531,24,"上任"
"五六",1532,24,"五六"
"公佈",1533,24,"公佈"
"分享",1534,24,"分享"
"太扯了",1535,24,"太扯了"
"尤其",1536,24,"尤其"
"手段",1537,24,"手段"
"叫做",1538,24,"叫做"
"奶",1539,24,"奶"
"打官司",1540,24,"打官司"
"本文",1541,24,"本文"
"有事",1542,24,"有事"
"百",1543,24,"百"
"免洗",1544,24,"免洗"
"努力",1545,24,"努力"
"坑",1546,24,"坑"
"抄阿",1547,24,"抄阿"
"抄襲",1548,24,"抄襲"
"性",1549,24,"性"
"治安",1550,24,"治安"
"阿輝伯",1551,24,"阿輝伯"
"約",1552,24,"約"
"英雄",1553,24,"英雄"
"案子",1554,24,"案子"
"站長",1555,24,"站長"
"高手",1556,24,"高手"
"國外",1557,24,"國外"
"國際",1558,24,"國際"
"推阿",1559,24,"推阿"
"敗",1560,24,"敗"
"現場",1561,24,"現場"
"單純",1562,24,"單純"
"無罪",1563,24,"無罪"
"痛",1564,24,"痛"
"登入",1565,24,"登入"
"稅收",1566,24,"稅收"
"等到",1567,24,"等到"
"超爽",1568,24,"超爽"
"閒聊",1569,24,"閒聊"
"惹",1570,24,"惹"
"節目",1571,24,"節目"
"萬",1572,24,"萬"
"補刀",1573,24,"補刀"
"歌",1574,24,"歌"
"演",1575,24,"演"
"蓋",1576,24,"蓋"
"踢踢",1577,24,"踢踢"
"學長",1578,24,"學長"
"擔心",1579,24,"擔心"
"禮拜",1580,24,"禮拜"
"爆掛",1581,24,"爆掛"
"躁鬱症",1582,24,"躁鬱症"
"'",1583,23,"'"
"＠",1584,23,"＠"
"good",1585,23,"good"
"TVBS",1586,23,"TVBS"
"上訴",1587,23,"上訴"
"上網",1588,23,"上網"
"今年",1589,23,"今年"
"天龍",1590,23,"天龍"
"父",1591,23,"父"
"主角",1592,23,"主角"
"加害",1593,23,"加害"
"外省人",1594,23,"外省人"
"平常",1595,23,"平常"
"休息",1596,23,"休息"
"吃飯",1597,23,"吃飯"
"血",1598,23,"血"
"利益",1599,23,"利益"
"含",1600,23,"含"
"局",1601,23,"局"
"屁股",1602,23,"屁股"
"沒想到",1603,23,"沒想到"
"沒種",1604,23,"沒種"
"周",1605,23,"周"
"底下",1606,23,"底下"
"表達",1607,23,"表達"
"咩",1608,23,"咩"
"封",1609,23,"封"
"指教",1610,23,"指教"
"相當",1611,23,"相當"
"秒",1612,23,"秒"
"背後",1613,23,"背後"
"趴",1614,23,"趴"
"軍",1615,23,"軍"
"重新",1616,23,"重新"
"候選人",1617,23,"候選人"
"哪來",1618,23,"哪來"
"恩",1619,23,"恩"
"笑話",1620,23,"笑話"
"剩",1621,23,"剩"
"喊",1622,23,"喊"
"曾",1623,23,"曾"
"最愛",1624,23,"最愛"
"測試",1625,23,"測試"
"無視",1626,23,"無視"
"牌",1627,23,"牌"
"開發",1628,23,"開發"
"經過",1629,23,"經過"
"運動",1630,23,"運動"
"遠",1631,23,"遠"
"憑",1632,23,"憑"
"離開",1633,23,"離開"
"證實",1634,23,"證實"
"<U+2501>",1635,22,"<U+2501>"
"18",1636,22,"18"
"24",1637,22,"24"
"26",1638,22,"26"
"diefishfish",1639,22,"diefishfish"
"hateOnas",1640,22,"hateOnas"
"U",1641,22,"U"
"刀",1642,22,"刀"
"小妹妹",1643,22,"小妹妹"
"干",1644,22,"干"
"不得",1645,22,"不得"
"之間",1646,22,"之間"
"出事",1647,22,"出事"
"出國",1648,22,"出國"
"古柯鹼",1649,22,"古柯鹼"
"可惡",1650,22,"可惡"
"本身",1651,22,"本身"
"冰冰",1652,22,"冰冰"
"印象",1653,22,"印象"
"名單",1654,22,"名單"
"好玩",1655,22,"好玩"
"老婆",1656,22,"老婆"
"耳鳴",1657,22,"耳鳴"
"自然",1658,22,"自然"
"自稱",1659,22,"自稱"
"判決",1660,22,"判決"
"抗議",1661,22,"抗議"
"取消",1662,22,"取消"
"官",1663,22,"官"
"扁",1664,22,"扁"
"政黑",1665,22,"政黑"
"既然",1666,22,"既然"
"消",1667,22,"消"
"消失",1668,22,"消失"
"破",1669,22,"破"
"起立",1670,22,"起立"
"馬囧",1671,22,"馬囧"
"做錯",1672,22,"做錯"
"唯一",1673,22,"唯一"
"常識",1674,22,"常識"
"強姦",1675,22,"強姦"
"救援",1676,22,"救援"
"現實",1677,22,"現實"
"章",1678,22,"章"
"部",1679,22,"部"
"陪",1680,22,"陪"
"悲哀",1681,22,"悲哀"
"惡",1682,22,"惡"
"提到",1683,22,"提到"
"雲林",1684,22,"雲林"
"意圖",1685,22,"意圖"
"極",1686,22,"極"
"碰",1687,22,"碰"
"經驗",1688,22,"經驗"
"詳細",1689,22,"詳細"
"夢到",1690,22,"夢到"
"億",1691,22,"億"
"影響力",1692,22,"影響力"
"暱稱",1693,22,"暱稱"
"確實",1694,22,"確實"
"編",1695,22,"編"
"罷了",1696,22,"罷了"
"興趣",1697,22,"興趣"
"優文",1698,22,"優文"
"△",1699,21,"△"
"2012",1700,21,"2012"
"or",1701,21,"or"
"sirius",1702,21,"sirius"
"XBOX",1703,21,"XBOX"
"XDDDDDDDD",1704,21,"XDDDDDDDD"
"ZIQQ",1705,21,"ZIQQ"
"人數",1706,21,"人數"
"下臺",1707,21,"下臺"
"大話",1708,21,"大話"
"不再",1709,21,"不再"
"不准",1710,21,"不准"
"中正",1711,21,"中正"
"中視",1712,21,"中視"
"天下",1713,21,"天下"
"父親",1714,21,"父親"
"加強",1715,21,"加強"
"可信度",1716,21,"可信度"
"用來",1717,21,"用來"
"共產黨",1718,21,"共產黨"
"好不好",1719,21,"好不好"
"好強",1720,21,"好強"
"次數",1721,21,"次數"
"老實說",1722,21,"老實說"
"投給",1723,21,"投給"
"李煥",1724,21,"李煥"
"使",1725,21,"使"
"抹黑",1726,21,"抹黑"
"東瀛",1727,21,"東瀛"
"河",1728,21,"河"
"狀態",1729,21,"狀態"
"狐",1730,21,"狐"
"狗民黨",1731,21,"狗民黨"
"保障",1732,21,"保障"
"挑",1733,21,"挑"
"倒是",1734,21,"倒是"
"拿出",1735,21,"拿出"
"拿出來",1736,21,"拿出來"
"旅遊網",1737,21,"旅遊網"
"海",1738,21,"海"
"砲",1739,21,"砲"
"能不能",1740,21,"能不能"
"高興",1741,21,"高興"
"堂妹",1742,21,"堂妹"
"笨",1743,21,"笨"
"設計",1744,21,"設計"
"郭董",1745,21,"郭董"
"無期徒刑",1746,21,"無期徒刑"
"超級",1747,21,"超級"
"想想",1748,21,"想想"
"楊",1749,21,"楊"
"煞車",1750,21,"煞車"
"罪犯",1751,21,"罪犯"
"萬歲",1752,21,"萬歲"
"誠意",1753,21,"誠意"
"零",1754,21,"零"
"鼓掌",1755,21,"鼓掌"
"噗噗",1756,21,"噗噗"
"賠",1757,21,"賠"
"躺",1758,21,"躺"
"導致",1759,21,"導致"
"檢調",1760,21,"檢調"
"糟",1761,21,"糟"
"聰明",1762,21,"聰明"
"雖",1763,21,"雖"
"難得",1764,21,"難得"
"類似",1765,21,"類似"
"髒話",1766,21,"髒話"
"‵",1767,20,"‵"
"426",1768,20,"426"
"ASP",1769,20,"ASP"
"Q",1770,20,"Q"
"XXX",1771,20,"XXX"
"Y",1772,20,"Y"
"YA",1773,20,"YA"
"七",1774,20,"七"
"上站",1775,20,"上站"
"千",1776,20,"千"
"不只",1777,20,"不只"
"不如",1778,20,"不如"
"不關",1779,20,"不關"
"公然",1780,20,"公然"
"主播",1781,20,"主播"
"仔細",1782,20,"仔細"
"正在",1783,20,"正在"
"冰",1784,20,"冰"
"名譽",1785,20,"名譽"
"好吃",1786,20,"好吃"
"死魚",1787,20,"死魚"
"羊曉東",1788,20,"羊曉東"
"老李",1789,20,"老李"
"考慮",1790,20,"考慮"
"刪掉",1791,20,"刪掉"
"抓去",1792,20,"抓去"
"炒",1793,20,"炒"
"侮辱",1794,20,"侮辱"
"保重",1795,20,"保重"
"保證",1796,20,"保證"
"恨",1797,20,"恨"
"香港",1798,20,"香港"
"恩怨",1799,20,"恩怨"
"效果",1800,20,"效果"
"特",1801,20,"特"
"班",1802,20,"班"
"站務",1803,20,"站務"
"貢獻",1804,20,"貢獻"
"動作",1805,20,"動作"
"措施",1806,20,"措施"
"理性",1807,20,"理性"
"剩下",1808,20,"剩下"
"揪",1809,20,"揪"
"程序",1810,20,"程序"
"進來",1811,20,"進來"
"搶",1812,20,"搶"
"當兵",1813,20,"當兵"
"禁止",1814,20,"禁止"
"經典",1815,20,"經典"
"跟到",1816,20,"跟到"
"逼",1817,20,"逼"
"辣",1818,20,"辣"
"嘴砲",1819,20,"嘴砲"
"賴",1820,20,"賴"
"&",1821,19,"&"
"／",1822,19,"／"
"↑",1823,19,"↑"
"13",1824,19,"13"
"360",1825,19,"360"
"BUG",1826,19,"BUG"
"end",1827,19,"end"
"OdieX",1828,19,"OdieX"
"PUSH",1829,19,"PUSH"
"ㄟ",1830,19,"ㄟ"
"九",1831,19,"九"
"入",1832,19,"入"
"下來",1833,19,"下來"
"大麻",1834,19,"大麻"
"不一定",1835,19,"不一定"
"中心",1836,19,"中心"
"五千",1837,19,"五千"
"仍",1838,19,"仍"
"內文",1839,19,"內文"
"夫",1840,19,"夫"
